,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2012,0.1,0.19,,4.75,8.87,,0.1,4.71,,,,,,,,,,87.78,,,,,,124.02,,,,,,37.67,,,,,,,,,,,,,,,,,,158.25,,,2.76,104.52,,,,,,,,,,,,,,,,
,2013,0.15,0.19,,6.77,8.68,,0.14,6.51,,,5.49,0.12,,,,,,97.78,,,,,,133.92,,,,,,45.01,,,,,,,,,,,,,,,,,,161.87,,,2.91,127.93,,,8.51,,13.75,,,,0.04,,,0.2,0.65,,,
,2014,0.16,0.13,,7.03,5.58,,0.18,7.93,,,7.33,0.17,,,,,,113.65,,,,,,135.4,,,,,,49.53,,,,,,,,,49.75,,,,,,,,,198.87,,,3.1,157.97,,,1.2,,16.02,,,,0.07,0.55,29.12,0.34,0.71,,,
,2015,0.17,0.13,,7.39,5.4,,0.22,9.43,,,56.95,1.33,,,,,,132.1,,,,,113.11,138.3,,,,,113.11,63.72,,,,,113.11,,,,63.97,,,,,113.11,,,,201.89,,,3.01,189.43,,,1.3,,53.11,,,,1.46,0.53,32.16,0.45,0.95,,,
,2016,0.21,0.12,,8.63,5.12,,0.24,10.08,,,65.94,1.59,,,,,,143.55,,,,,117.83,152.41,,,,,117.83,69.88,,,,,117.83,,,,69.88,,,,,117.83,,,,194.23,,,3.1,182.2,,,1.24,,53.73,,,,0.32,0.47,33.81,0.55,1.28,,,
,2017,0.21,0.14,,8.64,5.47,,0.25,10.24,,,,,,,,,,162.68,,,,,128.03,162.68,,,,,128.03,75.77,,,,,128.03,,,,75.77,,,,,128.03,,,,217.03,,,3.28,195.21,,,1.54,,,,,,,0.68,37.64,0.78,1.3,,,
,2018,0.28,0.14,,10.92,5.5,,0.27,10.46,,,,,,,,,,168.15,,,,,142.96,168.15,,,,,142.96,79.25,,,,,142.96,,,,79.25,,,,,142.96,,,,229.55,,,3.4,222.17,,,1.46,,,,,,,0.91,59.86,1.04,1.58,,,
,2019,0.3,0.14,,11.36,5.33,,0.27,10.4,,,,,,,,,,177.32,,,,,159.65,177.32,,,,,159.65,82.38,,,,,159.65,,,,82.38,,,,,159.65,,,,229,,,3.14,216.97,,,1.62,,,,,,,1.18,78.6,1.79,2.5,,,
Mauritius,2010,102.46,,,21.31,,,196.55,40.88,,,,,,,2.15,4.43,0.92,,,,,,,"2,192.24",,,,,,,,,,,,,,,469.79,,,,,,,,,168.79,,,0.32,69.08,,,0.29,,,,,,,,,,,447.86,"446,272.00",
,2011,104.93,,,21.61,,,210.84,43.43,,,,,,,2.13,4.93,1.01,,,,,,,"2,243.02",,,,,,,,,,,,,,,498.3,,,,,,,,,153.72,,,0.35,70.45,,,0.29,,,,,,,,,,,504.52,"419,516.00",
,2012,107.39,,,21.91,,,217.24,44.33,,,,,,,1.91,3.94,0.8,,,,,,,"2,228.43",,,,,,,,,,,,,,,543.67,,,,,,,,,153.25,,,0.37,75.37,,,0.59,,,,,,,,,,,428.07,"469,615.00",
,2013,109.85,,,22.24,,,221.67,44.88,,,,,,,1.89,3.94,0.8,,,,,,,"2,262.18",,,,,,,,,,,,,,,559.75,,,,,,,,,149.44,,,0.42,77.55,,,0.56,,,,,,,,,,,419.88,"475,024.00",
,2014,111.82,,,22.47,,,224.14,45.04,,,,,,,2.08,3.94,0.79,,,,,,,"2,274.50",,,,,,,,,,,,,,,421.95,,,,,,,,,159.24,,,0.4,74.98,,,0.58,,,,,,,,,,,426.76,"516,097.00",
,2015,108.87,,,21.72,,,228.57,45.59,,,,,,,2.16,3.94,0.79,"1,956.04",65.53,"1,879.96",,,,"2,252.75",60,"2,148.06",,,,286.05,,,,,,,,,395.14,,,,,,,,,169.3,,,0.42,76.54,,,0.56,,4.98,,,,,,,,,271.85,"523,553.00",
,2016,102.96,,,20.4,,,224.63,44.5,12.2,61.58,12.2,61.58,40.39,8,2.24,3.94,0.78,"1,836.51",37.59,"1,745.42","1,864.84","1,629.97",54.59,"2,091.47",36.17,"1,970.37","2,261.56","2,006.71",54.59,284.28,60.59,257.83,343.89,174.62,46.94,,,,394.57,58.77,350.51,514.65,242.62,46.94,,,,164.55,4.75,58.94,0.4,71.43,3.39,19.62,0.39,,128.13,113.37,0,59.9,0,251.66,"1,260.15","13,080.26",666.16,294.72,"553,313.00",0.53
,2017,94.58,,,18.6,,,221.18,43.49,12.88,65.52,12.88,65.52,41.87,8.23,2.23,4.43,0.87,"1,891.41",35.42,"1,785.75","1,902.75","1,672.78",56.47,"2,162.59",35.48,"2,023.95","2,315.91","2,062.61",56.47,279.04,,274.25,355.95,195.37,18.26,,,,387.91,53.77,347.93,498.76,240.04,18.26,,,,167.14,5.37,61.19,0.43,68.34,3.39,20.04,0.3,,114.12,67.35,0,60.63,0.01,247.74,"1,399.06","12,746.67",836.06,310.74,"576,885.60",0.9
,2018,87.68,,,17.11,,,221.18,43.17,12.69,65.02,12.69,65.02,42.86,8.36,2.21,4.43,0.87,"1,876.21",39.31,"1,779.37","1,893.84","1,669.00",39.04,"2,151.66",37.35,"2,018.84","2,302.87","2,065.02",39.04,260.08,66.85,240.92,319.04,165.6,18.5,,,,369.52,56.13,330.98,484.39,231.25,18.5,,,,123.06,5.56,62.74,0.21,60.41,3.07,20.92,0.3,,199.94,129.32,0,69.74,0.01,249.81,"1,389.88","14,783.18",819.19,615.74,"703,272.00",0.54
,2019,84.73,,,16.42,,,220.69,42.78,105.13,542.36,198.81,"1,025.62",49.26,9.55,2.2,5.42,1.05,"1,914.48",55.6,"1,844.55","1,942.26","1,750.50",65.37,"2,259.66",67.08,"2,183.25","2,444.84","2,278.83",65.37,257.71,55.92,234.33,304.63,166.65,10.06,,,,366.36,55.98,328.2,466.28,241.51,10.06,,,,126.22,6.37,65.21,0.33,60.29,3.04,22.29,0.38,,163.64,120.38,0.01,341.9,0.04,249.72,"1,297.18","19,918.83",859.89,645.06,"747,317.00",2.84
Mexico,2010,5.83,0.67,,14.09,1.61,,18.69,45.17,,,,,5.55,13.42,0.12,0.28,0.68,,,,,,44.49,"1,171.57",,,,,85.25,,,,,,,,,,,,333.26,,,,,,,20.55,,,0.32,15.91,1.49,5.71,0.5,0.8,,,,,,278.48,934.58,"10,218.77",688.86,93.96,"25,219,970.00",
,2011,6.08,0.72,,14.41,1.7,,18.94,44.86,,,,,11.66,27.62,0.12,0.28,0.67,,,,,,46.72,920.86,,,,,93.61,,,,,,,,,,,,523.72,,,,,,,20.22,,,0.32,16.79,1.57,6.19,0.47,0.73,1.33,,,,,300.41,"1,043.24","11,135.43",743.28,145.68,"21,336,335.71",
,2012,6.4,0.88,,14.89,2.04,,20.97,48.76,,,,,14.86,34.55,0.12,0.28,0.66,,,298.98,335.67,264.97,45.65,960.54,,,,,91.5,,,231.16,210.58,250.24,,,,,,,526.33,,,,,,,20.35,,,0.32,17.39,1.74,6.63,0.46,0.66,10.57,,,,,303.4,"1,347.64","11,558.29",720.39,173.27,"24,500,897.00",
,2013,6.5,1.04,,14.83,2.37,,21.33,48.71,,,,,15.32,34.98,0.12,0.28,0.65,,,293.65,329.74,260.2,55.63,967.27,,,,,90.67,,,227.04,206.87,245.74,,,,,,,579.97,,,,,,,21.04,,,0.38,18.62,1.97,7.29,0.52,0.42,31.71,,,,,304.08,"1,480.10","12,032.58",676.32,145.34,"23,885,701.00",
,2014,6.56,1.07,,14.73,2.41,,22.49,50.45,,,,,16.26,36.48,0.12,0.32,0.71,,,288.52,324.03,255.62,59.77,922.49,,,,,101.01,,,223.08,203.28,241.41,,,,,,,581.37,,,,,,,21.84,,,0.41,19.15,2.06,7.3,0.52,0.43,58.72,,,,,329.49,"1,553.88","12,690.86",601.48,137.44,"27,302,777.00",
,2015,6.32,1.04,,13.92,2.28,,24,52.9,,,,,17.64,38.9,0.12,0.29,0.65,,,380.5,394.35,367.67,64.18,971.38,,,,,117.55,,,250.89,247.54,253.99,,,,,,,536.68,,,,,,,23.13,,,0.44,20.72,2.16,7.66,0.54,0.32,83.65,,,,,336.09,"1,608.35","11,989.19",568.53,129.05,"28,470,698.00",
,2016,6.47,1.12,,14.02,2.42,,25.18,54.59,,,,,20.04,43.44,0.11,0.3,0.66,,,374.24,387.81,361.66,67.17,"1,045.64",,,,,124.43,,,246.76,243.43,249.85,,,,,,,558.89,,,,,,,23.99,,,0.47,21.57,2.14,7.87,0.58,1.71,147.24,,,,,348.29,"1,529.44","11,994.95",637.83,121.4,"30,355,053.00",
,2017,6.58,1.15,,14.03,2.46,,26.08,55.62,,,,,22.16,47.25,0.11,0.31,0.66,,,368.05,381.32,355.76,70.92,968.91,,,,,127.89,,,242.68,239.36,245.77,,,,,,,560.24,,,,,,,24.07,,,0.49,21.66,1.98,7.84,0.6,1.71,166.9,,,,,359.14,"1,582.91","12,606.01",609.6,123.16,"34,328,346.00",
,2018,6.61,1.21,,13.86,2.55,,28.04,58.82,,,,,23.05,48.35,0.11,0.31,0.65,,,401.93,407.98,396.33,76.35,"1,016.33",,987.24,"1,109.44",873.89,155.83,,,265.84,280.59,252.15,,,26.27,25.77,,,568.87,,,,,32.42,,24.36,,,0.52,22.07,1.88,7.91,0.63,1.41,273.61,,,,,296.3,"1,658.28","13,196.39",630.62,125.47,"36,482,459.00",
,2019,6.65,1.24,,13.73,2.56,,29.81,61.54,,,,,24.9,51.39,0.11,0.32,0.65,,,395.57,401.4,390.16,80.36,"1,047.29",,"1,019.91","1,049.22",992.7,166.63,,,261.63,276.07,248.23,,,24.28,23.77,,,589.88,,,,,30.74,,24.86,,,0.56,22.3,1.79,8.26,0.63,0.99,437.41,,,,,258.92,"1,351.86","14,187.16",606.76,,,
Micronesia,2010,14.29,,,15.11,,,8.57,9.07,,,,,,,,,,,,,,,,501.87,80.57,460.28,,,,,,,,,,,,,94.45,84.29,91.27,,,,,,,52.78,14.16,19.06,,19.21,10.01,7.75,,,,,,,,,,,,,,
,2011,14.29,,,14.9,,,8.57,8.94,,,,,,,,,,,,,,,,527.45,82.7,485.61,,,,,,,,,,,,,93.38,97.3,90.63,,,,,,,55.36,14.5,19.42,,18.07,9.31,7.67,,,,,,,,,,,,,,
,2012,14.29,,,14.6,,,14.29,14.6,,,,,,,,,,,,,,,,530.65,83.1,488.58,,,,,,,,,,,,,95.44,58.2,92.68,,,,,,,59.37,15.89,19.28,,17.42,8.83,7.95,,,,,,,,,,,,,,
,2013,14.29,,,14.26,,,14.29,14.26,,,,,,,,,,,,,,,,535.49,83.46,492.45,,,,,,,,,,,,,94.52,57.69,91.55,,,,,,,69.35,16.71,21.12,,17.97,9.46,8.2,,,,,,,,,,,,,,
,2014,14.29,,,13.94,,,14.29,13.94,,,,,,,,,,,,,,,,537.24,83.36,496.34,,,,,,,,,,,,,99.13,81.28,96.08,,,,,,,76.42,20.36,19.42,,19.11,10.34,8.46,,,,,,,,,,,,,,
,2015,14.29,,,13.67,,,14.29,13.67,,,,,,,,,,,,,,,,414,81.55,381.04,,,,,,,,,,,,,101.78,56.36,98.77,,,,,,,73.94,20.85,21.49,,24.65,12.01,12.32,,,,,,,,,,,,,,
,2016,14.29,,,13.41,,,14.29,13.41,,,,,,,,,,,,,,,,379.46,83.27,339.71,,,,,,,,,,,,,103.36,51.01,100.71,,,,,,,85.47,24.08,21.97,,22.57,12.64,9.93,,,,,,,,,,,,,,
,2017,14.29,,,13.19,,,14.29,13.19,,,,,,,,,,,,,,,,354.61,82.41,314.79,,,,,,,,,,,,,102.55,47.91,99.72,,,,,,,81.27,23.73,20.18,,19.64,10.36,9.27,,,,,,,,,,,,,,
,2018,14.29,,,13,,,14.29,13,,,,,,,,,,,,,,,,342.4,82.63,302.59,,,,,,,,,,,,,104.09,34.81,100.28,,,,,,,81.11,23.39,18.91,,18.41,9.45,8.46,,,,,,,,,,,,,,
,2019,14.29,,,12.82,,,14.29,12.82,,,,,,,,,,,,,,,,356.21,83.5,316.28,,,,,,,,,,,,,102.7,31.65,98.12,,,,,,,82.85,24.13,19.66,,19.9,9.95,8.71,,,,,,,,,,,,,,
Moldova,2010,35.77,,,49.19,,,23.32,32.07,,,,,,,1,,,"1,501.46",,"1,441.68",,,2.45,"1,849.63",,"1,763.91",,,,47.26,,43.88,,,5.91,,,,,,,,,,,,,29.85,,21.4,0.11,28.2,,5.87,0.16,,,,,,,8.8,333.42,,,13.47,"668,267.00",
,2011,38.45,,,52.74,,,25.91,35.54,,,,,,,0.84,,,"1,446.47",,"1,401.35",,,2.42,"1,927.67",,"1,838.59",,,,46.04,,43.4,,,6.54,,,,56.99,,51.64,,,,,,,33.04,,20.93,0.11,30.18,,4.06,0.15,,,,,,,10.05,370.64,,,17.83,"702,230.00",
,2012,38.86,,,53.2,,,28.12,38.5,,,,,,,0.75,,,"1,529.21",,"1,475.96",,,2.43,"1,985.79",,"1,904.37",,,,51.34,,48.13,,,6.75,,,,62.05,,55.64,,,,,,,37.7,,24.16,0.11,33.16,,4.53,0.16,,,,,,,10.21,411.29,,,17.89,"704,052.00",
,2013,39.51,,,54.04,,,30.57,41.81,,,,,,,0.67,,,"1,659.99",,"1,595.95",,,2.41,"2,111.75",,"2,019.77",,,,58.18,,51.8,,,7.95,,,,70.17,,58.68,,,,,,,43.41,,26.23,0.13,35.29,,4.96,0.19,,,,,,,15.47,463.39,"2,353.47",213.45,18.17,"802,559.00",
,2014,41.13,,,56.23,,,32.92,45,,,,,,,0.62,,,"1,541.96",,"1,446.09",,,2.26,"2,039.37",,"1,941.33",,,,64.2,,56.94,,,8.96,,,,76.72,,64.61,,,,,,,35.02,,25.28,0.15,29.71,,4.47,0.22,,,,,,,15.36,526.18,"3,269.42",288.34,14.18,"717,730.00",
,2015,25.09,,,34.56,,,29.59,40.76,,,,,,,0.63,,,936.72,,839.01,809.42,731.91,2.35,"1,403.99",,"1,309.15","1,229.06","1,144.75",,62.28,,56.93,63.48,58.67,9.34,,,,74.43,,64.93,70.46,64.42,,,,,32.33,,23.34,0.15,24.97,,4.17,0.23,,,,,,,14.15,526.36,"3,475.66",213.85,14.28,"713,122.00",
,2016,24.78,,,34.54,,,31.8,44.33,,,,,,,0.68,,,"1,058.86",,832.86,897.52,824.35,2.79,"1,594.39",,"1,487.91","1,371.04","1,300.74",,51.22,,47.68,72.75,64.37,10.43,,,,100.11,,93.31,80.02,70.98,,,,,32.21,,22.74,0.19,20.74,,4.02,0.26,,,,,,,18.05,622.72,"4,638.56",217.41,13.46,"706,554.00",
,2017,24.48,,,34.71,,,33.41,47.38,,,,,,,0.69,,,"1,162.14",41.21,"1,032.61",911.5,918,3.02,"1,742.60",38.29,"1,479.40","1,302.58","1,380.53",,83.23,56.58,78.61,83.23,74.44,11.94,,,,91.52,75,85.64,89.33,78.92,,,,,33.48,6.29,21.34,0.23,18.71,6.61,4.39,0.31,,,,,,,18.36,730.13,"5,818.50",226.63,13.57,"759,842.00",
,2018,24.48,3.22,,35.36,4.66,,34.6,49.98,,,,,,,0.7,,,"1,252.82",74.42,"1,180.57","1,108.49","1,104.70",3.23,"1,844.77",78.39,"1,730.40","1,616.42","1,686.69",,98.56,60.18,93.93,101.33,87.29,13.07,,,,108.56,86.46,103.13,111.83,95.32,,,,,32.92,5.73,21.36,0.27,17.71,5.78,5.46,0.36,,,,,,,19.72,830.69,"7,217.05",250.41,14.15,"799,454.00",
,2019,22.07,3.22,,32.48,4.74,,34.57,50.86,,,,,,,0.63,,,"1,349.99",81.25,"1,295.47","1,263.16","1,324.43",3.45,"1,924.00",80.27,"1,838.07","1,751.72","1,915.28",,117.87,84.01,114.56,124.88,105.32,13.16,,,,133.83,84.6,127.91,139.82,117.24,,,,,31.47,5.59,21.43,0.28,18.4,5.54,6.51,0.39,,,,,,,19.94,880.4,"9,270.04",269.05,11.86,"836,053.00",
Mongolia,2010,0.7,0.16,,54.61,12.29,,0.24,18.49,,,,,,,0.86,,,,,,,,,845.64,,,,,,,,,,,22.67,,,,263.5,,,,,,,,,43.66,,,0.31,31.87,2.85,13.67,0.76,,,,,,,,,,,,,
,2011,0.85,0.17,,65.69,12.8,,0.41,31.46,,,,,,,0.84,,,,,,,,,933.61,,,,,,,,,,,25.56,,,,300.75,,,,,,,,,44.36,,,0.41,41.39,3.6,18.52,0.87,,,,,,,,,,,,,
,2012,0.9,0.18,,68.21,13.49,,0.59,44.71,,,,,,,0.88,,,,,,,,,"1,048.78",,,,,,,,,,,34.33,,,,300.29,,,,,,,,,39.63,,,0.42,41.59,3.54,18.42,0.92,,,,,,,,,,,,,
,2013,0.94,0.22,,70.68,16.13,,0.66,49.69,,,,,,,0.82,,,,,,,,,"1,200.50",,,,,,,,,,,23.43,,,,334.11,,,,,,,,,40.68,,,0.65,55.89,5.06,24.2,1.13,,,,,,,,,,,,,
,2014,0.97,0.29,,71.23,21.7,,0.79,58.36,,,,,,,0.85,,,,,,,,,"1,288.47",,,,,,,,,,,29.86,,,,381.35,,,,,,,,,39.56,,,0.74,55.97,5.72,25.41,1.3,,,,,,,,,,,,,
,2015,0.96,0.37,,70.13,26.77,,0.99,72.43,,,,,,,0.8,,,,,,,,,"1,328.41",,,,,,,,,,,37.58,,,,418.67,,,,,,,,,37.39,,,0.76,50.4,5.49,21.44,1.69,,,,,,,8.09,"1,894.79","4,620.14",18.79,,,
,2016,0.97,0.41,,69.83,29.77,,1.22,87.96,,,,,,,0.79,,,,,,,,,"1,323.41",,,,,,,,,,,55.01,,,,840.83,,,,,,,,,46.86,,,0.76,51.53,8.27,23.41,1.82,,,,,,,14.81,"1,818.48","5,869.11",52.71,,,
,2017,0.98,0.45,,69.92,32,,1.31,93.11,,,,,,,0.78,,,,,,,,,"1,379.23",,"1,376.76",,,,,,,,,49.26,,,,465.3,,462.13,,,,,,,50.12,,,0.65,48.45,8.86,23.71,2.29,,"1,480.41",750.8,,,,54.38,"1,708.23","7,569.92",65.19,,,
,2018,0.98,0.45,,69.17,31.73,,1.52,106.88,,,,,,,0.82,,,,,,,,,"1,454.63",,"1,429.95",,,,,,,,,106.1,,,,554.08,,550.17,,,,,,,55.32,,,0.82,52.71,10.5,27.5,2.68,,"1,260.77",912.13,,,,93.83,"1,851.25","16,515.07",75.44,,,
,2019,0.92,0.51,,63.89,35.31,,2.14,148.8,,,,,,,0.81,,,,,,,,,"1,456.68",,"1,454.63","1,388.67","1,517.29",,,,,,,188.12,,,,624.94,,620.73,570.07,668.85,,,,,56.91,,,1.11,48.6,10.94,24.98,3.34,,"1,649.35",682.05,,,,98.78,"1,580.54","35,518.89",89.05,,,
Montenegro,2010,14.8,,,39.78,,,23.87,64.17,,,,,,,2.4,,,,,,,,,"1,637.83",,"1,495.32",,,,224.79,,214.73,,,,,,,555.38,,534.46,,,,,,,39.94,,23.62,,66.63,,27.52,,,,,,,,108.6,628.08,,,58.26,"313,658.00",
,2011,15.02,,,40.28,,,24.68,66.2,,,,,,,2.39,,,,,,,,,"1,848.17",,"1,697.20",,,,217.32,,207.69,,,,,,,491.69,,471.95,,,,,,,40.57,,24.24,,55.24,,25.41,,,,,,,,101.45,605.44,,,62.97,"332,439.00",
,2012,15.17,,,40.57,,,26.02,69.6,,,,,,,2.19,,,,,,,,,"1,941.36",,"1,785.82",,,,212.74,,203.25,,,,,,,490.12,,470.1,,,,,,,45.33,,27.17,,54.3,,25.2,,,,,,,,98.77,610.96,,,70.47,"328,760.00",
,2013,15.91,,,42.42,,,26.84,71.56,,,,,,,2.18,,,,,,,,,"1,754.93",,"1,608.62",,,,218.43,,208.04,,,,,,,464.87,,442.97,,,,,,,45.42,,27.71,,54.05,,25.94,,,,,,,,97.71,689,,,92.16,"353,879.00",
,2014,15.76,,,41.9,,,26.69,70.95,,,,,,,2.17,,,,,,,,,"1,811.52",,"1,659.48",,,,221.14,,210.22,,,,,,,475.09,,450.93,,,,,,,48.41,,28.64,,51.99,,25.61,,,,,,,,96.58,702.51,,,97.25,"377,382.00",
,2015,16.21,,,42.99,,,28.7,76.12,,,,,,,2.17,,,,,,,,,"1,563.25",,"1,402.97",,,,222.33,,211.64,,,,,,,503.17,,479.46,,,,,,,51.21,,28.73,,50.4,,24.95,,,,,,,,79.36,766.48,,,73.95,"207,078.00",
,2016,16.73,,,44.27,,,29.44,77.92,,,,,,,2.16,,,,,,,,,"1,927.27",,"1,760.82",,,,224.77,,214.18,,,,,,,496.59,,470.9,,,,,,,52.29,,28.04,,49.12,,25.56,,,,,,,,77.98,829.7,,,76.75,"256,078.00",
,2017,16.51,,,43.63,,,30.63,80.98,,,,,,,1.97,,,,,,,,,"1,515.64",,"1,359.43",,,,231.88,,221.24,,,,,,,501.8,,477.57,,,,,,,54.7,,28.65,,48.64,,25.98,,,,,,,,61.62,890.08,,,71.76,"280,080.00",
,2018,16.51,,,43.62,,,32.94,87.05,,,,,,,1.77,,,,,,,,,"1,730.16",,"1,562.11",,,,245.85,,235.08,,,,,,,496.49,,473.09,,,,,,,52.05,,28.47,,48.94,,26.81,,,,,,,,63.99,780.76,,,72.34,"325,647.00",
,2019,15.46,,,40.85,,,30.71,81.1,,,,,,,1.77,,,,,,,,,"1,523.53",,"1,354.75",,,,249.35,,239.6,,,,,,,480.27,,457.32,,,,,,,48.19,,26.82,,49.56,,27.66,,,,,,,,115.55,824.83,,,73.06,"332,585.00",
Montserrat,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2010,10.77,,,20.79,,,10.18,19.66,,,,,,,,,,,,,,,,678.51,,636.12,,,,,,,,,,,,,,,,,,,,,,82.79,,54.45,,78.54,,22.05,,,,,,,,,,,,,,
,2011,11.5,,,21.81,,,11.26,21.35,,,,,,,,,,,,,,,,721.18,,668.28,,,,,,,,,,,,,,,,,,,,,,82.84,,55.69,,83.57,14.85,23.03,,,,,,,,,,,,,,
,2012,12.25,,,22.86,,,12.27,22.9,,,,,,,,,,,,,,,,763.43,,705.68,,,,,,,,,,,,,,,,,,,,,,82.45,,56.3,,85.16,15.26,24.63,,,,,,,,,,,,,,
,2013,12.84,,,23.59,,,13.2,24.26,,,,,,,,,,,,,,,,802.57,,744.4,,,,,,,,,,,,,,,,,,,,,,80.44,,55.97,,83.27,13.35,24.72,,,,,,,,,,,,,,
,2014,13.3,,,24.06,,,13.97,25.28,,,,,,,,,,,,,,,,864.43,,742.19,,,,,,,,,,,,,,,,,,,,,,83.18,,57.87,,82.27,13.7,25.81,,,,,,,,,,,,,,
,2015,13.8,,,24.58,,,14.63,26.06,,,,,,,,,,,,,,,,919.61,,800.57,,,,,,,,,,,,,354.92,72.06,315.96,,,,,,,82.92,,57.81,,78.99,13.47,25.53,,,,,,,,,,,,,,
,2016,14.12,,,24.8,,,15.28,26.84,,,,,,,,,,,,,,,,950.31,,845.56,,,,,,,,,,,,,413.53,61.42,343.48,,,,,,,84.29,,59.02,,80.02,13.82,25.9,,,,,,,,,,,,,,
